组编号	|	编号	|	编号颜色	|	用药建议	|	用药建议颜色	|	建议详细
288	|	卡马西平1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢正常；由<style italic="true">PRRC2A</style>导致的毒副作用风险较高；常规剂量药效不佳。请慎用。
	|	卡马西平2-1	|	#ffffff	|		|		|	
	|	卡马西平3-2	|	#ff0000	|		|		|	
289	|	卡马西平1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢正常；由<style italic="true">PRRC2A</style>导致的毒副作用风险高；常规剂量药效不佳。请慎用。
	|	卡马西平2-1	|	#ffffff	|		|		|	
	|	卡马西平3-3	|	#ff0000	|		|		|	
290	|	卡马西平1-2	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢较快；由<style italic="true">PRRC2A</style>导致的毒副作用风险低；常规剂量药效不佳。提示可遵医嘱增加剂量。
	|	卡马西平2-2	|	#ffffff	|		|		|	
	|	卡马西平3-1	|	#ffffff	|		|		|	
291	|	卡马西平1-2	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢较快；由<style italic="true">PRRC2A</style>导致的毒副作用风险较高；常规剂量药效不佳。提示可遵医嘱增加剂量。
	|	卡马西平2-2	|	#ffffff	|		|		|	
	|	卡马西平3-2	|	#ffffff	|		|		|	
292	|	卡马西平1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢较快；由<style italic="true">PRRC2A</style>导致的毒副作用风险高；常规剂量药效不佳。请慎用。
	|	卡马西平2-2	|	#ffffff	|		|		|	
	|	卡马西平3-3	|	#ff0000	|		|		|	
293	|	卡马西平1-2	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢较；由<style italic="true">PRRC2A</style>导致的毒副作用风险低；常规剂量药效不佳。提示可遵医嘱增加剂量。
	|	卡马西平2-3	|	#ffffff	|		|		|	
	|	卡马西平3-1	|	#ffffff	|		|		|	
294	|	卡马西平1-2	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢快；由<style italic="true">PRRC2A</style>导致的毒副作用风险较高；常规剂量药效不佳。提示可遵医嘱增加剂量。
	|	卡马西平2-3	|	#ffffff	|		|		|	
	|	卡马西平3-2	|	#ffffff	|		|		|	
295	|	卡马西平1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢快；由<style italic="true">PRRC2A</style>导致的毒副作用风险高；常规剂量药效不佳。请慎用。
	|	卡马西平2-3	|	#ffffff	|		|		|	
	|	卡马西平3-3	|	#ff0000	|		|		|	
296	|	卡马西平1-3	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢正常；由<style italic="true">PRRC2A</style>导致的毒副作用风险低；常规剂量药效差。提示可遵医嘱增加剂量。
	|	卡马西平2-1	|	#ffffff	|		|		|	
	|	卡马西平3-1	|	#ffffff	|		|		|	
297	|	卡马西平1-3	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢正常；由<style italic="true">PRRC2A</style>导致的毒副作用风险较高；常规剂量药效差。请慎用。
	|	卡马西平2-1	|	#ffffff	|		|		|	
	|	卡马西平3-2	|	#ff0000	|		|		|	
298	|	卡马西平1-3	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢正常；由<style italic="true">PRRC2A</style>导致的毒副作用风险高；常规剂量药效差。请慎用。
	|	卡马西平2-1	|	#ffffff	|		|		|	
	|	卡马西平3-3	|	#ff0000	|		|		|	
299	|	卡马西平1-3	|	#ffffff	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢较快；由<style italic="true">PRRC2A</style>导致的毒副作用风险低；常规剂量药效差。提示可遵医嘱增加剂量。
	|	卡马西平2-2	|	#ffffff	|		|		|	
	|	卡马西平3-1	|	#ffffff	|		|		|	
300	|	卡马西平1-3	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢较快；由<style italic="true">PRRC2A</style>导致的毒副作用风险较高；常规剂量药效差。请慎用。
	|	卡马西平2-2	|	#ffffff	|		|		|	
	|	卡马西平3-2	|	#ff0000	|		|		|	
301	|	卡马西平1-3	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢较快；由<style italic="true">PRRC2A</style>导致的毒副作用风险高；常规剂量药效差。请慎用。
	|	卡马西平2-2	|	#ffffff	|		|		|	
	|	卡马西平3-3	|	#ff0000	|		|		|	
302	|	卡马西平1-3	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢较；由<style italic="true">PRRC2A</style>导致的毒副作用风险低；常规剂量药效差。提示可遵医嘱增加剂量。
	|	卡马西平2-3	|	#ffffff	|		|		|	
	|	卡马西平3-1	|	#ffffff	|		|		|	
303	|	卡马西平1-3	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢快；由<style italic="true">PRRC2A</style>导致的毒副作用风险较高；常规剂量药效差。请慎用。
	|	卡马西平2-3	|	#ffffff	|		|		|	
	|	卡马西平3-2	|	#ff0000	|		|		|	
304	|	卡马西平1-3	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子对卡马西平代谢快；由<style italic="true">PRRC2A</style>导致的毒副作用风险高；常规剂量药效差。请慎用。
	|	卡马西平2-3	|	#ffffff	|		|		|	
	|	卡马西平3-3	|	#ff0000	|		|		|
